date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:56:58	27848/27848	---MC-	404	error ('Not%20Found')	text/html	date:Tue,%2010%20Oct%202023%2008:56:57%20GMT	https://phrikmedia.com.ng/newswing/cooming-soon.html	C:/Users/SAMUEL/Desktop/Samuel/PPS/SWiNG%20CRM/phrikmedia.com.ng/newswing/cooming-soon.22.delayed	(from https://phrikmedia.com.ng/newswing/)
09:57:01	27848/27848	---MC-	404	error ('Not%20Found')	text/html	date:Tue,%2010%20Oct%202023%2008:56:59%20GMT	https://phrikmedia.com.ng/newswing/services-v1.html	C:/Users/SAMUEL/Desktop/Samuel/PPS/SWiNG%20CRM/phrikmedia.com.ng/newswing/services-v1.html	(from https://phrikmedia.com.ng/newswing/)
09:57:01	55625/55625	---M--	200	added ('OK')	image/png	date:Wed,%2012%20May%202021%2013:38:22%20GMT	https://phrikmedia.com.ng/newswing/images/home12-img-1.png	C:/Users/SAMUEL/Desktop/Samuel/PPS/SWiNG%20CRM/phrikmedia.com.ng/newswing/images/home12-img-1.png	(from https://phrikmedia.com.ng/newswing/)
09:57:03	38757/38757	---M--	200	added ('OK')	text/html	date:Fri,%2022%20Sep%202023%2012:12:17%20GMT	https://phrikmedia.com.ng/newswing/services-3.html	C:/Users/SAMUEL/Desktop/Samuel/PPS/SWiNG%20CRM/phrikmedia.com.ng/newswing/services-3.html	(from https://phrikmedia.com.ng/newswing/)
09:57:05	40862/40862	---M--	200	added ('OK')	application/javascript	date:Thu,%2001%20Oct%202020%2010:07:08%20GMT	https://phrikmedia.com.ng/newswing/js/jquery.isotope.min.js	C:/Users/SAMUEL/Desktop/Samuel/PPS/SWiNG%20CRM/phrikmedia.com.ng/newswing/js/jquery.isotope.min.js	(from https://phrikmedia.com.ng/newswing/)
09:57:05	50945/50945	---M--	200	added ('OK')	application/javascript	date:Mon,%2018%20Oct%202021%2010:09:16%20GMT	https://phrikmedia.com.ng/newswing/js/lightgallery-all.min.js	C:/Users/SAMUEL/Desktop/Samuel/PPS/SWiNG%20CRM/phrikmedia.com.ng/newswing/js/lightgallery-all.min.js	(from https://phrikmedia.com.ng/newswing/)
09:57:06	29046/29046	---M--	200	added ('OK')	text/html	date:Fri,%2022%20Sep%202023%2012:16:07%20GMT	https://phrikmedia.com.ng/newswing/contact.html	C:/Users/SAMUEL/Desktop/Samuel/PPS/SWiNG%20CRM/phrikmedia.com.ng/newswing/contact.html	(from https://phrikmedia.com.ng/newswing/)
09:57:06	89500/89500	---M--	200	added ('OK')	application/javascript	date:Thu,%2010%20Feb%202022%2014:11:02%20GMT	https://phrikmedia.com.ng/newswing/js/jquery.min.js	C:/Users/SAMUEL/Desktop/Samuel/PPS/SWiNG%20CRM/phrikmedia.com.ng/newswing/js/jquery.min.js	(from https://phrikmedia.com.ng/newswing/)
09:57:07	3691/3691	---M--	200	added ('OK')	application/javascript	date:Wed,%2015%20Jan%202020%2010:07:20%20GMT	https://phrikmedia.com.ng/newswing/js/easypiechart.min.js	C:/Users/SAMUEL/Desktop/Samuel/PPS/SWiNG%20CRM/phrikmedia.com.ng/newswing/js/easypiechart.min.js	(from https://phrikmedia.com.ng/newswing/)
09:57:07	1310/1310	---M--	200	added ('OK')	application/javascript	date:Tue,%2028%20Aug%202018%2013:16:02%20GMT	https://phrikmedia.com.ng/newswing/js/jquery.countdown.min.js	C:/Users/SAMUEL/Desktop/Samuel/PPS/SWiNG%20CRM/phrikmedia.com.ng/newswing/js/jquery.countdown.min.js	(from https://phrikmedia.com.ng/newswing/)
09:57:07	44348/44348	---M--	200	added ('OK')	application/javascript	date:Fri,%2025%20Sep%202020%2014:51:30%20GMT	https://phrikmedia.com.ng/newswing/js/owl.carousel.min.js	C:/Users/SAMUEL/Desktop/Samuel/PPS/SWiNG%20CRM/phrikmedia.com.ng/newswing/js/owl.carousel.min.js	(from https://phrikmedia.com.ng/newswing/)
09:57:08	3245/3245	---M--	200	added ('OK')	application/javascript	date:Thu,%2020%20Jan%202022%2014:49:52%20GMT	https://phrikmedia.com.ng/newswing/js/contact.js	C:/Users/SAMUEL/Desktop/Samuel/PPS/SWiNG%20CRM/phrikmedia.com.ng/newswing/js/contact.js	(from https://phrikmedia.com.ng/newswing/)
09:57:09	37993/37993	---M--	200	added ('OK')	application/javascript	date:Tue,%2025%20Jan%202022%2013:40:36%20GMT	https://phrikmedia.com.ng/newswing/js/scripts.js	C:/Users/SAMUEL/Desktop/Samuel/PPS/SWiNG%20CRM/phrikmedia.com.ng/newswing/js/scripts.js	(from https://phrikmedia.com.ng/newswing/)
09:57:09	9279/9279	---M--	200	added ('OK')	application/javascript	date:Thu,%2019%20Dec%202019%2016:46:14%20GMT	https://phrikmedia.com.ng/newswing/js/royal_preloader.min.js	C:/Users/SAMUEL/Desktop/Samuel/PPS/SWiNG%20CRM/phrikmedia.com.ng/newswing/js/royal_preloader.min.js	(from https://phrikmedia.com.ng/newswing/)
09:57:12	131930/131930	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Tue,%2010%20Dec%202019%2021:09:28%20GMT	https://phrikmedia.com.ng/newswing/fonts/fa-brands-400.eot	C:/Users/SAMUEL/Desktop/Samuel/PPS/SWiNG%20CRM/phrikmedia.com.ng/newswing/fonts/fa-brands-400.eot	(from https://phrikmedia.com.ng/newswing/css/font-awesome.min.css)
09:57:12	75936/75936	---M--	200	added ('OK')	font/woff2	date:Tue,%2010%20Dec%202019%2021:09:28%20GMT	https://phrikmedia.com.ng/newswing/fonts/fa-brands-400.woff2	C:/Users/SAMUEL/Desktop/Samuel/PPS/SWiNG%20CRM/phrikmedia.com.ng/newswing/fonts/fa-brands-400.woff2	(from https://phrikmedia.com.ng/newswing/css/font-awesome.min.css)
09:57:13	131930/131930	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Tue,%2010%20Dec%202019%2021:09:28%20GMT	https://phrikmedia.com.ng/newswing/fonts/fa-brands-400.eot?	C:/Users/SAMUEL/Desktop/Samuel/PPS/SWiNG%20CRM/phrikmedia.com.ng/newswing/fonts/fa-brands-400d41d.eot	(from https://phrikmedia.com.ng/newswing/css/font-awesome.min.css)
09:57:13	89100/89100	---M--	200	added ('OK')	font/woff	date:Tue,%2010%20Dec%202019%2021:09:28%20GMT	https://phrikmedia.com.ng/newswing/fonts/fa-brands-400.woff	C:/Users/SAMUEL/Desktop/Samuel/PPS/SWiNG%20CRM/phrikmedia.com.ng/newswing/fonts/fa-brands-400.woff	(from https://phrikmedia.com.ng/newswing/css/font-awesome.min.css)
09:57:14	34390/34390	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Tue,%2010%20Dec%202019%2021:09:28%20GMT	https://phrikmedia.com.ng/newswing/fonts/fa-regular-400.eot	C:/Users/SAMUEL/Desktop/Samuel/PPS/SWiNG%20CRM/phrikmedia.com.ng/newswing/fonts/fa-regular-400.eot	(from https://phrikmedia.com.ng/newswing/css/font-awesome.min.css)
09:57:14	131624/131624	---M--	200	added ('OK')	font/ttf	date:Tue,%2010%20Dec%202019%2021:09:28%20GMT	https://phrikmedia.com.ng/newswing/fonts/fa-brands-400.ttf	C:/Users/SAMUEL/Desktop/Samuel/PPS/SWiNG%20CRM/phrikmedia.com.ng/newswing/fonts/fa-brands-400.ttf	(from https://phrikmedia.com.ng/newswing/css/font-awesome.min.css)
09:57:14	13576/13576	---M--	200	added ('OK')	font/woff2	date:Tue,%2010%20Dec%202019%2021:09:28%20GMT	https://phrikmedia.com.ng/newswing/fonts/fa-regular-400.woff2	C:/Users/SAMUEL/Desktop/Samuel/PPS/SWiNG%20CRM/phrikmedia.com.ng/newswing/fonts/fa-regular-400.woff2	(from https://phrikmedia.com.ng/newswing/css/font-awesome.min.css)
09:57:14	34390/34390	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Tue,%2010%20Dec%202019%2021:09:28%20GMT	https://phrikmedia.com.ng/newswing/fonts/fa-regular-400.eot?	C:/Users/SAMUEL/Desktop/Samuel/PPS/SWiNG%20CRM/phrikmedia.com.ng/newswing/fonts/fa-regular-400d41d.eot	(from https://phrikmedia.com.ng/newswing/css/font-awesome.min.css)
09:57:14	16800/16800	---M--	200	added ('OK')	font/woff	date:Tue,%2010%20Dec%202019%2021:09:28%20GMT	https://phrikmedia.com.ng/newswing/fonts/fa-regular-400.woff	C:/Users/SAMUEL/Desktop/Samuel/PPS/SWiNG%20CRM/phrikmedia.com.ng/newswing/fonts/fa-regular-400.woff	(from https://phrikmedia.com.ng/newswing/css/font-awesome.min.css)
09:57:15	34092/34092	---M--	200	added ('OK')	font/ttf	date:Tue,%2010%20Dec%202019%2021:09:28%20GMT	https://phrikmedia.com.ng/newswing/fonts/fa-regular-400.ttf	C:/Users/SAMUEL/Desktop/Samuel/PPS/SWiNG%20CRM/phrikmedia.com.ng/newswing/fonts/fa-regular-400.ttf	(from https://phrikmedia.com.ng/newswing/css/font-awesome.min.css)
09:57:16	144322/144322	---M--	200	added ('OK')	image/svg+xml	date:Tue,%2010%20Dec%202019%2021:09:28%20GMT	https://phrikmedia.com.ng/newswing/fonts/fa-regular-400.svg	C:/Users/SAMUEL/Desktop/Samuel/PPS/SWiNG%20CRM/phrikmedia.com.ng/newswing/fonts/fa-regular-400.svg	(from https://phrikmedia.com.ng/newswing/css/font-awesome.min.css)
09:57:17	76084/76084	---M--	200	added ('OK')	font/woff2	date:Tue,%2010%20Dec%202019%2021:09:28%20GMT	https://phrikmedia.com.ng/newswing/fonts/fa-solid-900.woff2	C:/Users/SAMUEL/Desktop/Samuel/PPS/SWiNG%20CRM/phrikmedia.com.ng/newswing/fonts/fa-solid-900.woff2	(from https://phrikmedia.com.ng/newswing/css/font-awesome.min.css)
09:57:17	194066/194066	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Tue,%2010%20Dec%202019%2021:09:28%20GMT	https://phrikmedia.com.ng/newswing/fonts/fa-solid-900.eot	C:/Users/SAMUEL/Desktop/Samuel/PPS/SWiNG%20CRM/phrikmedia.com.ng/newswing/fonts/fa-solid-900.eot	(from https://phrikmedia.com.ng/newswing/css/font-awesome.min.css)
09:57:17	708706/708706	---M--	200	added ('OK')	image/svg+xml	date:Tue,%2010%20Dec%202019%2021:09:28%20GMT	https://phrikmedia.com.ng/newswing/fonts/fa-brands-400.svg	C:/Users/SAMUEL/Desktop/Samuel/PPS/SWiNG%20CRM/phrikmedia.com.ng/newswing/fonts/fa-brands-400.svg	(from https://phrikmedia.com.ng/newswing/css/font-awesome.min.css)
